Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.00002,64229,0.99999,1.00000,1.00000,0.00000,0.00000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0.00102,64167,0.99950,0.99969,0.99970,0.00004,0.00008,0.999,1.000,1.000,1.000,1.000,1.000,1.000
0.00201,64101,0.99886,0.99930,0.99933,0.00006,0.00017,0.999,0.999,0.999,0.999,1.000,0.999,0.999
0.00301,64033,0.99817,0.99888,0.99893,0.00007,0.00027,0.998,0.999,0.999,0.999,0.999,0.999,0.999
0.00401,63969,0.99749,0.99847,0.99853,0.00008,0.00037,0.997,0.999,0.999,0.998,0.999,0.999,0.998
0.00501,63904,0.99681,0.99806,0.99815,0.00008,0.00046,0.997,0.999,0.998,0.997,0.999,0.998,0.998
0.00600,63837,0.99606,0.99761,0.99771,0.00009,0.00057,0.996,0.998,0.998,0.997,0.999,0.998,0.998
0.00700,63768,0.99524,0.99712,0.99725,0.00009,0.00069,0.995,0.998,0.998,0.996,0.999,0.997,0.997
0.00800,63699,0.99442,0.99661,0.99676,0.00009,0.00081,0.994,0.997,0.997,0.996,0.998,0.997,0.997
0.00900,63629,0.99357,0.99610,0.99627,0.00010,0.00093,0.994,0.997,0.997,0.995,0.998,0.997,0.996
0.00999,63559,0.99270,0.99556,0.99576,0.00010,0.00106,0.993,0.997,0.996,0.994,0.998,0.996,0.995
0.01099,63494,0.99189,0.99505,0.99528,0.00010,0.00118,0.992,0.996,0.996,0.993,0.997,0.996,0.995
0.01199,63426,0.99101,0.99452,0.99477,0.00011,0.00131,0.991,0.996,0.995,0.993,0.997,0.995,0.994
0.01298,63358,0.99017,0.99399,0.99426,0.00011,0.00144,0.990,0.995,0.995,0.992,0.997,0.995,0.994
0.01398,63287,0.98926,0.99341,0.99372,0.00011,0.00157,0.989,0.995,0.995,0.991,0.996,0.994,0.993
0.01498,63219,0.98838,0.99286,0.99320,0.00011,0.00171,0.988,0.995,0.994,0.991,0.996,0.994,0.993
0.01598,63150,0.98749,0.99229,0.99265,0.00011,0.00184,0.987,0.994,0.994,0.990,0.996,0.993,0.992
0.01697,63081,0.98659,0.99172,0.99211,0.00012,0.00198,0.987,0.994,0.993,0.989,0.995,0.993,0.991
0.01797,63012,0.98566,0.99112,0.99154,0.00012,0.00212,0.986,0.993,0.993,0.988,0.995,0.992,0.991
0.01897,62943,0.98478,0.99055,0.99100,0.00012,0.00226,0.985,0.993,0.992,0.988,0.994,0.992,0.990
0.01997,62873,0.98386,0.98997,0.99045,0.00012,0.00240,0.984,0.992,0.992,0.987,0.994,0.992,0.989
0.02096,62801,0.98288,0.98936,0.98986,0.00012,0.00255,0.983,0.992,0.991,0.986,0.994,0.991,0.989
0.02196,62729,0.98193,0.98874,0.98927,0.00012,0.00269,0.982,0.991,0.991,0.985,0.993,0.991,0.988
0.02296,62658,0.98097,0.98813,0.98869,0.00012,0.00284,0.981,0.991,0.990,0.984,0.993,0.990,0.987
0.02396,62586,0.97998,0.98750,0.98810,0.00013,0.00299,0.980,0.990,0.990,0.983,0.992,0.990,0.987
0.02495,62515,0.97902,0.98689,0.98752,0.00013,0.00314,0.979,0.990,0.989,0.983,0.992,0.989,0.986
0.02595,62441,0.97802,0.98622,0.98688,0.00013,0.00330,0.978,0.989,0.989,0.982,0.991,0.989,0.985
0.02695,62369,0.97702,0.98556,0.98625,0.00013,0.00346,0.977,0.989,0.988,0.981,0.991,0.988,0.984
0.02795,62297,0.97604,0.98491,0.98564,0.00013,0.00361,0.976,0.988,0.988,0.980,0.990,0.988,0.983
0.02894,62225,0.97507,0.98426,0.98502,0.00013,0.00377,0.975,0.988,0.987,0.979,0.990,0.988,0.983
0.02994,62153,0.97407,0.98359,0.98437,0.00013,0.00393,0.974,0.987,0.987,0.978,0.989,0.987,0.982
0.03094,62082,0.97314,0.98293,0.98374,0.00013,0.00409,0.973,0.987,0.986,0.978,0.989,0.987,0.981
0.03194,62012,0.97223,0.98228,0.98312,0.00014,0.00425,0.972,0.986,0.986,0.977,0.988,0.986,0.980
0.03293,61941,0.97128,0.98161,0.98248,0.00014,0.00441,0.971,0.986,0.985,0.976,0.988,0.986,0.979
0.03393,61870,0.97031,0.98094,0.98184,0.00014,0.00457,0.970,0.985,0.985,0.975,0.987,0.985,0.978
0.03493,61796,0.96928,0.98026,0.98118,0.00014,0.00474,0.969,0.985,0.984,0.974,0.987,0.985,0.978
0.03593,61724,0.96829,0.97958,0.98053,0.00014,0.00491,0.968,0.984,0.983,0.973,0.986,0.985,0.977
0.03692,61653,0.96736,0.97892,0.97989,0.00014,0.00507,0.967,0.984,0.983,0.973,0.986,0.984,0.976
0.03792,61582,0.96642,0.97825,0.97925,0.00014,0.00523,0.966,0.983,0.982,0.972,0.985,0.984,0.975
0.03892,61512,0.96547,0.97758,0.97860,0.00014,0.00540,0.965,0.983,0.982,0.971,0.985,0.983,0.974
0.03992,61441,0.96456,0.97692,0.97796,0.00014,0.00556,0.965,0.982,0.981,0.970,0.984,0.983,0.973
0.04091,61371,0.96364,0.97628,0.97734,0.00014,0.00572,0.964,0.981,0.981,0.970,0.984,0.983,0.972
0.04191,61299,0.96270,0.97559,0.97667,0.00014,0.00589,0.963,0.981,0.980,0.969,0.983,0.982,0.972
0.04291,61228,0.96174,0.97493,0.97604,0.00014,0.00605,0.962,0.980,0.980,0.968,0.983,0.982,0.971
0.04391,61156,0.96079,0.97424,0.97537,0.00014,0.00622,0.961,0.980,0.979,0.967,0.982,0.981,0.970
0.04490,61087,0.95987,0.97358,0.97474,0.00015,0.00638,0.960,0.979,0.978,0.966,0.981,0.981,0.969
0.04590,61017,0.95895,0.97293,0.97411,0.00015,0.00654,0.959,0.979,0.978,0.966,0.981,0.980,0.968
0.04690,60947,0.95802,0.97227,0.97347,0.00015,0.00670,0.958,0.978,0.977,0.965,0.980,0.980,0.967
0.04789,60875,0.95709,0.97161,0.97283,0.00015,0.00687,0.957,0.978,0.977,0.964,0.980,0.979,0.967
0.04889,60805,0.95611,0.97095,0.97220,0.00015,0.00703,0.956,0.977,0.976,0.963,0.979,0.979,0.966
0.04989,60734,0.95517,0.97028,0.97155,0.00015,0.00720,0.955,0.976,0.976,0.962,0.979,0.979,0.965
0.05089,60664,0.95421,0.96962,0.97092,0.00015,0.00736,0.954,0.976,0.975,0.961,0.978,0.978,0.964
