Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.04690,1.0511e+005,0.96809,0.98232,0.98277,0.00009,0.00434,0.971,0.989,0.980,0.990,0.990,0.968,0.988
0.04789,1.05e+005,0.96736,0.98179,0.98226,0.00009,0.00447,0.970,0.988,0.980,0.990,0.990,0.967,0.988
0.04889,1.0489e+005,0.96663,0.98127,0.98175,0.00009,0.00460,0.969,0.988,0.979,0.989,0.989,0.967,0.988
0.04989,1.0478e+005,0.96590,0.98074,0.98124,0.00010,0.00473,0.968,0.987,0.978,0.989,0.989,0.966,0.987
0.05089,1.0467e+005,0.96509,0.98023,0.98074,0.00010,0.00486,0.967,0.987,0.978,0.989,0.989,0.965,0.987
0.05188,1.0456e+005,0.96427,0.97973,0.98025,0.00010,0.00498,0.967,0.987,0.977,0.988,0.988,0.964,0.986
0.05288,1.0445e+005,0.96353,0.97921,0.97975,0.00010,0.00511,0.966,0.986,0.977,0.988,0.988,0.964,0.986
0.05388,1.0434e+005,0.96273,0.97870,0.97926,0.00010,0.00523,0.965,0.986,0.976,0.987,0.988,0.963,0.986
0.05488,1.0423e+005,0.96198,0.97819,0.97876,0.00010,0.00536,0.964,0.986,0.976,0.987,0.988,0.962,0.985
0.05587,1.0412e+005,0.96122,0.97766,0.97825,0.00010,0.00549,0.963,0.985,0.975,0.987,0.987,0.961,0.985
0.05687,1.0401e+005,0.96043,0.97713,0.97773,0.00010,0.00562,0.962,0.985,0.975,0.986,0.987,0.960,0.984
0.05787,1.039e+005,0.95972,0.97659,0.97721,0.00010,0.00576,0.962,0.985,0.974,0.986,0.987,0.960,0.984
0.05887,1.0379e+005,0.95901,0.97604,0.97667,0.00010,0.00589,0.961,0.984,0.974,0.985,0.986,0.959,0.983
0.05986,1.0368e+005,0.95828,0.97549,0.97613,0.00010,0.00603,0.960,0.984,0.973,0.985,0.986,0.958,0.983
0.06086,1.0357e+005,0.95763,0.97491,0.97557,0.00010,0.00617,0.959,0.983,0.972,0.984,0.985,0.958,0.982
0.06186,1.0346e+005,0.95690,0.97437,0.97504,0.00010,0.00631,0.958,0.983,0.972,0.984,0.985,0.957,0.982
0.06286,1.0335e+005,0.95624,0.97379,0.97448,0.00010,0.00645,0.957,0.982,0.971,0.983,0.985,0.956,0.981
0.06385,1.0324e+005,0.95553,0.97322,0.97393,0.00010,0.00659,0.957,0.982,0.971,0.983,0.984,0.956,0.980
0.06485,1.0313e+005,0.95486,0.97265,0.97337,0.00010,0.00674,0.956,0.982,0.970,0.982,0.984,0.955,0.980
0.06585,1.0302e+005,0.95421,0.97207,0.97280,0.00011,0.00688,0.955,0.981,0.970,0.982,0.983,0.954,0.979
0.06685,1.0291e+005,0.95359,0.97146,0.97221,0.00011,0.00703,0.954,0.981,0.969,0.981,0.983,0.954,0.979
0.06784,1.028e+005,0.95305,0.97085,0.97162,0.00011,0.00718,0.953,0.980,0.968,0.981,0.983,0.953,0.978
0.06884,1.0269e+005,0.95234,0.97025,0.97103,0.00011,0.00734,0.952,0.980,0.968,0.980,0.982,0.952,0.977
0.06984,1.0258e+005,0.95150,0.96965,0.97044,0.00011,0.00749,0.951,0.979,0.967,0.980,0.982,0.952,0.977
0.07084,1.0247e+005,0.95063,0.96904,0.96984,0.00011,0.00764,0.951,0.979,0.967,0.979,0.981,0.951,0.976
